time_sec;time_min;FHR_bpm
833.0;13.883;143.7
834.0;13.9;144.1
835.0;13.917;144.2
836.0;13.933;144.1
837.0;13.95;143.9
838.0;13.967;143.6
839.0;13.983;143.4
840.0;14.0;143.2
841.0;14.017;143.1
842.0;14.033;143.0
843.0;14.05;143.0
844.0;14.067;143.1
845.0;14.083;143.2
846.0;14.1;143.2
847.0;14.117;143.3
848.0;14.133;143.3
849.0;14.15;143.4
850.0;14.167;143.5
851.0;14.183;143.5
852.0;14.2;143.4
853.0;14.217;143.4
854.0;14.233;143.4
855.0;14.25;143.7
856.0;14.267;143.9
857.0;14.283;144.3
858.0;14.3;144.6
859.0;14.317;145.0
860.0;14.333;145.0
861.0;14.35;145.0
862.0;14.367;144.9
863.0;14.383;144.8
864.0;14.4;144.5
865.0;14.417;144.3
866.0;14.433;144.0
867.0;14.45;143.7
868.0;14.467;143.5
869.0;14.483;143.3
870.0;14.5;143.4
871.0;14.517;143.5
872.0;14.533;143.6
873.0;14.55;143.7
874.0;14.567;143.8
875.0;14.583;143.9
876.0;14.6;144.0
